127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A07.641&campaign=&country_code=ES&city=None&ip_address=95.23.180.153&language=espa%3Fol&device_name=&device_type=Lenovo%3A%3ATab2A7-10F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:05 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A03.748&campaign=&country_code=TR&city=None&ip_address=88.233.53.66&language=T%3Frk%3Fe&device_name=&device_type=Vodafone%3A%3AVodafone+Smart+ultra+6&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:06 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A33.005&campaign=&country_code=IT&city=None&ip_address=5.90.96.246&language=italiano&device_name=&device_type=DOOGEE%3A%3AVOYAGER+DG300&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A17.536&campaign=&country_code=CL&city=Santiago&ip_address=186.9.4.102&language=espa%3Fol&device_name=&device_type=samsung%3A%3AGT-I9060L&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A19.635&campaign=&country_code=ES&city=Madrid&ip_address=83.57.237.203&language=espa%3Fol&device_name=&device_type=samsung%3A%3ASM-G7105&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A34.726&campaign=&country_code=DE&city=None&ip_address=176.2.92.229&language=fran%3Fais&device_name=&device_type=samsung%3A%3AGT-I9505&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A29.387&campaign=&country_code=TR&city=None&ip_address=176.219.146.183&language=T%3Frk%3Fe&device_name=&device_type=samsung%3A%3ASM-N7500Q&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A17.835&campaign=&country_code=BR&city=Goi%3Fnia&ip_address=189.5.104.123&language=portugu%3Fs&device_name=&device_type=lge%3A%3ALG-H342&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A26.027&campaign=&country_code=HU&city=None&ip_address=88.132.140.254&language=hu-HU&device_name=D%3Fvid+iPhone-ja&device_type=iPhone5%3B2&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A20.344&campaign=&country_code=US&city=Duncanville&ip_address=107.198.52.201&language=English&device_name=&device_type=samsung%3A%3ASGH-M819N&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:08 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A27.843&campaign=&country_code=FI&city=Turku&ip_address=91.153.95.144&language=fi-FI&device_name=iPhone+%28Santra%29&device_type=iPhone5%3B4&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:09 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A28.040&campaign=&country_code=PL&city=Grudziadz&ip_address=89.238.24.190&language=polski&device_name=&device_type=samsung%3A%3ASM-G530FZ&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:09 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A15.442&campaign=&country_code=ML&city=None&ip_address=41.203.194.138&language=fr&device_name=Ly&device_type=iPad2%3B2&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:09 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A31.651&campaign=&country_code=IT&city=Milan&ip_address=151.54.17.120&language=it-IT&device_name=iPhone&device_type=iPhone4%3B1&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:09 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A11.081&campaign=&country_code=NO&city=Oslo&ip_address=84.215.3.104&language=it-DE&device_name=Agron+syla&device_type=iPhone6%3B1&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:10 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A07.203&campaign=&country_code=TR&city=None&ip_address=94.78.71.206&language=T%3Frk%3Fe&device_name=&device_type=samsung%3A%3AGT-I9190&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:11 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A17.257&campaign=&country_code=BR&city=Manaus&ip_address=179.222.115.238&language=portugu%3Fs&device_name=&device_type=samsung%3A%3AGT-S5303B&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:11 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A27.434&campaign=&country_code=GB&city=Birmingham&ip_address=92.19.179.65&language=en-GB&device_name=Iphone&device_type=iPhone5%3B2&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:11 +0300; tracker.internal; /api/postback; 200; 3; 0.001 [0.001];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A26.517&campaign=&country_code=IT&city=None&ip_address=5.168.40.145&language=it-IT&device_name=iPhone+di+stefano++%282%29&device_type=iPhone7%3B2&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A27.849&campaign=&country_code=PY&city=Asunci%3Fn&ip_address=190.104.131.4&language=espa%3Fol&device_name=&device_type=samsung%3A%3AGT-I9300&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.001 [0.001];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A26.539&campaign=&country_code=PT&city=None&ip_address=213.22.10.166&language=portugu%3Fs&device_name=&device_type=samsung%3A%3ASM-G530FZ&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A39.591&campaign=&country_code=TR&city=Nazilli&ip_address=95.14.221.18&language=T%3Frk%3Fe&device_name=&device_type=ZTE%3A%3ATURKCELL+T50&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A16.317&campaign=&country_code=US&city=Baltimore&ip_address=66.87.80.44&language=English&device_name=&device_type=lge%3A%3ALGLS885&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A11.772&campaign=&country_code=PL&city=None&ip_address=5.172.238.16&language=polski&device_name=&device_type=samsung%3A%3AGT-S7560&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A27.478&campaign=&country_code=ES&city=None&ip_address=188.85.89.77&language=espa%3Fol&device_name=&device_type=Sony%3A%3AD2403&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A32.534&campaign=&country_code=BR&city=None&ip_address=187.85.32.1&language=portugu%3Fs&device_name=&device_type=TCT%3A%3AALCATEL+ONE+TOUCH+5020E&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:12 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A12.818&campaign=&country_code=IT&city=None&ip_address=62.19.24.85&language=italiano&device_name=&device_type=asus%3A%3AME173X&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A27.398&campaign=&country_code=US&city=New+Orleans&ip_address=72.200.1.209&language=en&device_name=Unknown-Host&device_type=iPad4%3B1&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A28.928&campaign=&country_code=FR&city=Bordeaux&ip_address=82.66.9.210&language=fran%3Fais&device_name=&device_type=samsung%3A%3ASM-G850F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A17.449&campaign=&country_code=IT&city=Milan&ip_address=151.30.102.140&language=it-IT&device_name=Arab%21&device_type=iPhone7%3B2&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A32.476&campaign=&country_code=RU&city=None&ip_address=85.140.6.96&language=%3F%3F%3F%3F%3F%3F%3F&device_name=&device_type=samsung%3A%3AGT-I9300&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A29.102&campaign=&country_code=IT&city=None&ip_address=95.237.26.204&language=italiano&device_name=&device_type=samsung%3A%3AGT-I9195&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A28.052&campaign=&country_code=BR&city=None&ip_address=177.200.206.54&language=portugu%3Fs&device_name=&device_type=samsung%3A%3AGT-S7582L&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A34.031&campaign=&country_code=PE&city=Lima&ip_address=179.7.88.4&language=espa%3Fol&device_name=&device_type=samsung%3A%3ASM-A300FU&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:13 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A35.931&campaign=&country_code=SK&city=None&ip_address=178.40.174.91&language=sloven%3Fina&device_name=&device_type=htc%3A%3AHTC+Desire+610&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:14 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A32.546&campaign=&country_code=MA&city=None&ip_address=41.142.18.113&language=fran%3Fais&device_name=&device_type=asus%3A%3AME371MG&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:14 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A41.259&campaign=&country_code=US&city=Los+Angeles&ip_address=208.54.39.244&language=espa%3Fol&device_name=&device_type=samsung%3A%3ASM-G386T1&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:15 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A32.806&campaign=&country_code=US&city=Memphis&ip_address=75.64.119.10&language=English&device_name=&device_type=samsung%3A%3ASM-G900P&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:15 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A20.070&campaign=&country_code=TR&city=Istanbul&ip_address=178.240.32.184&language=T%3Frk%3Fe&device_name=&device_type=lge%3A%3ALG-D802&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:15 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A36.904&campaign=&country_code=US&city=Dallas&ip_address=172.56.7.93&language=espa%3Fol&device_name=&device_type=samsung%3A%3ASM-G900T&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:15 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A39.207&campaign=&country_code=MA&city=Mekn%3Fs&ip_address=41.140.164.63&language=fran%3Fais&device_name=&device_type=Sony%3A%3AC1505&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:15 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A13.741&campaign=&country_code=PT&city=Braga&ip_address=62.169.66.5&language=portugu%3Fs&device_name=&device_type=samsung%3A%3AGT-I9300&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+21%3A00%3A15.755&campaign=&country_code=BR&city=None&ip_address=201.11.195.151&language=portugu%3Fs&device_name=&device_type=lge%3A%3ALG-H326&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A21.412&campaign=&country_code=ZA&city=Durban&ip_address=41.13.176.96&language=English&device_name=&device_type=samsung%3A%3ASM-G361H&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A40.453&campaign=&country_code=RU&city=Kazan&ip_address=78.138.167.86&language=T%3Frk%3Fe&device_name=&device_type=samsung%3A%3ASM-G900F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A30.457&campaign=&country_code=ES&city=None&ip_address=95.21.129.96&language=espa%3Fol&device_name=&device_type=Allwinner-Tablet%3A%3AmiTab+LIVE&app_version=4.7.7&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.032 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A29.877&campaign=&country_code=DE&city=Bremen&ip_address=109.47.0.170&language=Deutsch&device_name=&device_type=samsung%3A%3AGT-I9505&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A19.609&campaign=&country_code=US&city=Compton&ip_address=172.56.30.247&language=English&device_name=&device_type=htc%3A%3AHTC+Desire+626s&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A20.893&campaign=&country_code=FR&city=None&ip_address=90.48.10.162&language=fran%3Fais&device_name=&device_type=samsung%3A%3ASM-G360F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:17 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A21.761&campaign=&country_code=NG&city=None&ip_address=197.211.53.18&language=English&device_name=&device_type=samsung%3A%3AGT-I9060I&app_version=4.5.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A24.963&campaign=&country_code=ES&city=C%3Frdoba&ip_address=83.59.46.177&language=espa%3Fol&device_name=&device_type=Sony%3A%3AST21i&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A32.498&campaign=&country_code=FR&city=Lambersart&ip_address=86.74.170.97&language=fr&device_name=iPhone+6+KSM&device_type=iPhone7%3B2&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.001 [0.001];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A23.810&campaign=&country_code=NL&city=None&ip_address=92.69.247.206&language=nl&device_name=iPhone&device_type=iPhone4%3B1&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A31.564&campaign=&country_code=BR&city=None&ip_address=177.53.80.24&language=portugu%3Fs&device_name=&device_type=samsung%3A%3AGT-I8552B&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A44.332&campaign=&country_code=TR&city=None&ip_address=176.219.131.180&language=T%3Frk%3Fe&device_name=&device_type=samsung%3A%3AGT-I8190&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A41.862&campaign=&country_code=BE&city=None&ip_address=84.198.252.19&language=nl-BE&device_name=iPhone+van+Azabar&device_type=iPhone4%3B1&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A26.340&campaign=&country_code=VE&city=None&ip_address=190.36.125.229&language=espa%3Fol&device_name=&device_type=HUAWEI%3A%3AHUAWEI+Y511-U251&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:18 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A59%3A46.414&campaign=&country_code=ZA&city=Boksburg&ip_address=197.78.170.52&language=en&device_name=James&device_type=iPad2%3B1&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:19 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A58%3A52.705&campaign=&country_code=FR&city=Annemasse&ip_address=83.153.20.159&language=fr-FR&device_name=iPhone+de+Sara&device_type=iPhone7%3B2&app_version=&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:19 +0300; tracker.internal; /api/postback; 200; 3; 0.001 [0.001];  app_id=id12345&click_time=&install_time=2015-10-25+20%3A58%3A58.720&campaign=&country_code=DK&city=None&ip_address=212.242.209.218&language=da-DK&device_name=Niklas%27+iPhone+6s&device_type=iPhone8%3B1&app_version=&media_source= ; -
